#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season
1,Jayson Tatum,BOS,24,983.1,615,201,472,0.426,77,196,0.393,136,170,0.8,24,137,161,148,29,21,100,72,2021-2022
2,Stephen Curry,GSW,22,763.8,602,202,440,0.459,91,229,0.397,107,129,0.829,11,104,115,129,29,8,57,59,2021-2022
3,Jaylen Brown,BOS,24,919.8,554,197,419,0.47,60,161,0.373,100,131,0.763,33,133,166,85,27,10,74,71,2021-2022
4,Luka Doncic,DAL,15,552.0,475,160,352,0.455,51,148,0.345,104,135,0.77,10,137,147,96,27,9,59,44,2021-2022
5,Jimmy Butler,MIA,17,629.4,466,166,328,0.506,23,68,0.338,111,132,0.841,41,84,125,78,35,11,25,25,2021-2022
6,Klay Thompson,GSW,22,791.8,419,158,368,0.429,77,200,0.385,26,30,0.867,7,79,86,50,24,15,28,47,2021-2022
7,Jalen Brunson,DAL,18,629.4,388,145,311,0.466,26,75,0.347,72,90,0.8,15,68,83,66,14,1,19,38,2021-2022
8,Giannis Antetokounmpo,MIL,12,447.8,380,140,285,0.491,9,41,0.22,91,134,0.679,26,144,170,81,8,15,54,43,2021-2022
9,Jordan Poole,GSW,22,605.5,373,129,254,0.508,50,128,0.391,65,71,0.915,10,52,62,83,17,8,53,62,2021-2022
10,Andrew Wiggins,GSW,22,766.8,363,143,305,0.469,35,105,0.333,42,65,0.646,54,111,165,40,22,23,30,54,2021-2022
11,Marcus Smart,BOS,21,760.2,324,113,279,0.405,48,137,0.35,50,62,0.806,20,75,95,123,26,5,52,71,2021-2022
12,Al Horford,BOS,23,815.1,277,101,193,0.523,47,98,0.48,28,36,0.778,35,179,214,76,19,31,29,64,2021-2022
13,Bam Adebayo,MIA,18,613.7,266,104,175,0.594,0,1,0.0,58,76,0.763,37,107,144,48,18,13,38,55,2021-2022
14,Spencer Dinwiddie,DAL,18,500.8,255,80,192,0.417,40,96,0.417,55,67,0.821,8,36,44,65,15,6,29,42,2021-2022
15,Tyrese Maxey,PHI,12,485.2,249,88,182,0.484,26,69,0.377,47,50,0.94,6,36,42,47,9,2,21,24,2021-2022
16,Ja Morant,MEM,9,337.6,244,81,184,0.44,17,50,0.34,65,87,0.747,13,59,72,88,18,4,32,22,2021-2022
17,Joel Embiid,PHI,10,385.3,236,78,161,0.484,7,33,0.212,73,89,0.82,21,86,107,21,4,8,32,34,2021-2022
18,Deandre Ayton,PHX,13,397.1,233,105,164,0.64,2,4,0.5,21,33,0.636,33,83,116,22,5,10,19,34,2021-2022
19,Devin Booker,PHX,10,365.9,233,79,175,0.451,28,65,0.431,47,53,0.887,10,38,48,44,5,4,32,25,2021-2022
20,Jrue Holiday,MIL,12,463.2,229,89,235,0.379,25,79,0.316,26,31,0.839,12,55,67,78,21,7,34,28,2021-2022
21,Chris Paul,PHX,13,447.6,228,87,155,0.561,19,49,0.388,35,37,0.946,7,47,54,108,19,2,31,40,2021-2022
22,Desmond Bane,MEM,12,427.6,225,76,159,0.478,43,88,0.489,30,35,0.857,5,40,45,26,11,9,16,23,2021-2022
23,James Harden,PHI,12,478.5,223,64,158,0.405,28,76,0.368,67,75,0.893,11,57,68,103,9,8,50,29,2021-2022
24,Dorian Finney-Smith,DAL,18,688.0,211,74,157,0.471,46,108,0.426,17,24,0.708,32,67,99,35,17,7,18,53,2021-2022
25,Grant Williams,BOS,24,653.8,207,65,150,0.433,35,89,0.393,42,52,0.808,23,68,91,19,8,18,20,83,2021-2022
26,Tobias Harris,PHI,12,465.8,203,81,162,0.5,22,57,0.386,19,22,0.864,10,81,91,35,13,10,18,35,2021-2022
27,Derrick White,BOS,23,585.2,196,64,176,0.364,26,83,0.313,42,51,0.824,8,62,70,61,21,13,29,46,2021-2022
28,Max Strus,MIA,18,522.8,196,68,182,0.374,47,142,0.331,13,18,0.722,15,58,73,38,14,8,20,55,2021-2022
29,Reggie Bullock,DAL,18,707.3,190,61,151,0.404,52,131,0.397,16,18,0.889,8,74,82,30,22,1,8,48,2021-2022
30,Tyler Herro,MIA,15,381.2,189,74,181,0.409,16,70,0.229,25,27,0.926,7,51,58,42,9,6,27,21,2021-2022
31,"Jaren Jackson, Jr.",MEM,12,332.0,185,59,156,0.378,27,72,0.375,40,53,0.755,26,55,81,11,9,30,17,53,2021-2022
32,Draymond Green,GSW,22,703.1,176,69,144,0.479,8,39,0.205,30,47,0.638,26,133,159,138,25,22,59,87,2021-2022
33,Mikal Bridges,PHX,13,500.3,173,66,138,0.478,13,33,0.394,28,30,0.933,12,49,61,37,14,13,11,31,2021-2022
34,Brandon Ingram,NOP,6,235.7,162,56,118,0.475,11,27,0.407,39,47,0.83,4,33,37,37,4,2,23,11,2021-2022
35,Dillon Brooks,MEM,11,335.3,161,60,172,0.349,25,72,0.347,16,25,0.64,8,22,30,30,11,3,22,36,2021-2022
36,Victor Oladipo,MIA,15,367.7,159,50,136,0.368,17,62,0.274,42,53,0.792,4,47,51,31,19,4,25,29,2021-2022
37,Maxi Kleber,DAL,18,456.5,157,54,106,0.509,34,78,0.436,15,21,0.714,15,67,82,20,4,15,11,49,2021-2022
38,Nikola Jokic,DEN,5,171.1,155,61,106,0.575,5,18,0.278,28,33,0.848,17,49,66,29,8,5,24,20,2021-2022
39,Donovan Mitchell,UTA,6,229.5,153,53,133,0.398,10,48,0.208,37,42,0.881,6,20,26,34,4,3,16,14,2021-2022
40,Anthony Edwards,MIN,6,227.0,151,50,110,0.455,23,57,0.404,28,34,0.824,4,21,25,18,7,7,15,22,2021-2022
41,Brandon Clarke,MEM,12,296.4,148,56,91,0.615,0,1,0.0,36,54,0.667,37,46,83,24,9,10,12,23,2021-2022
42,Gabe Vincent,MIA,18,422.9,144,50,131,0.382,25,81,0.309,19,20,0.95,3,32,35,57,14,5,25,41,2021-2022
43,P.J. Tucker,MIA,18,509.3,142,54,109,0.495,23,51,0.451,11,16,0.688,35,67,102,32,14,5,13,50,2021-2022
44,Cameron Johnson,PHX,13,320.2,140,46,99,0.465,22,59,0.373,26,32,0.813,9,37,46,20,5,1,12,31,2021-2022
45,Pascal Siakam,TOR,6,260.3,137,51,107,0.477,4,17,0.235,31,36,0.861,8,35,43,35,7,6,13,24,2021-2022
46,C.J. McCollum,NOP,6,233.9,133,49,125,0.392,17,51,0.333,18,26,0.692,11,29,40,29,4,5,15,15,2021-2022
47,Robert Williams,BOS,17,393.9,131,53,78,0.679,0,1,0.0,25,28,0.893,43,62,105,17,12,38,10,34,2021-2022
48,Karl-Anthony Towns,MIN,6,221.7,131,39,80,0.488,10,22,0.455,43,50,0.86,11,54,65,13,4,12,27,25,2021-2022
49,Kevon Looney,GSW,22,448.1,127,58,88,0.659,0,0,0.0,11,18,0.611,63,105,168,48,9,10,19,50,2021-2022
50,Bobby Portis,MIL,12,297.5,127,48,115,0.417,14,47,0.298,17,22,0.773,25,95,120,9,5,3,16,26,2021-2022
51,Brook Lopez,MIL,12,331.8,127,50,102,0.49,6,28,0.214,21,23,0.913,27,44,71,8,6,18,11,33,2021-2022
52,Jae Crowder,PHX,13,383.2,122,42,105,0.4,19,63,0.302,19,26,0.731,8,53,61,31,13,7,19,47,2021-2022
53,Payton Pritchard,BOS,24,308.7,114,43,102,0.422,24,72,0.333,4,6,0.667,10,36,46,38,6,2,9,23,2021-2022
54,Pat Connaughton,MIL,12,317.7,114,42,88,0.477,25,64,0.391,5,5,1.0,3,48,51,11,5,4,7,14,2021-2022
55,Tyus Jones,MEM,12,262.2,110,39,99,0.394,18,45,0.4,14,15,0.933,4,35,39,54,14,2,13,8,2021-2022
56,Bojan Bogdanovic,UTA,6,214.3,108,39,81,0.481,11,33,0.333,19,24,0.792,3,22,25,10,2,0,12,24,2021-2022
57,De'Andre Hunter,ATL,5,174.6,106,39,70,0.557,12,26,0.462,16,20,0.8,2,17,19,3,4,1,11,20,2021-2022
58,Jordan Clarkson,UTA,6,170.2,105,40,73,0.548,9,24,0.375,16,18,0.889,5,14,19,8,3,1,10,17,2021-2022
59,Kevin Durant,BRK,4,176.0,105,32,83,0.386,7,21,0.333,34,38,0.895,2,21,23,25,4,1,21,15,2021-2022
60,DeMar DeRozan,CHI,5,203.3,104,39,95,0.411,0,9,0.0,26,30,0.867,1,26,27,24,9,2,11,12,2021-2022
61,OG Anunoby,TOR,6,216.5,104,39,82,0.476,14,41,0.341,12,16,0.75,7,17,24,15,6,1,10,18,2021-2022
62,Danny Green,PHI,12,319.4,103,36,89,0.404,31,76,0.408,0,1,0.0,9,28,37,10,12,4,13,23,2021-2022
63,Otto Porter,GSW,19,371.0,102,38,77,0.494,19,47,0.404,7,9,0.778,12,53,65,34,17,6,12,34,2021-2022
64,Grayson Allen,MIL,12,305.4,100,37,82,0.451,19,48,0.396,7,11,0.636,5,30,35,15,8,4,9,22,2021-2022
65,Nikola Vucevic,CHI,5,180.8,97,40,91,0.44,13,42,0.31,4,5,0.8,14,48,62,16,2,6,8,14,2021-2022
66,"Gary Trent, Jr.",TOR,6,199.3,92,31,82,0.378,13,39,0.333,17,19,0.895,1,9,10,8,6,3,3,11,2021-2022
67,Jonas Valanciunas,NOP,6,174.6,87,33,68,0.485,1,6,0.167,20,26,0.769,33,53,86,18,4,1,12,17,2021-2022
68,Kyrie Irving,BRK,4,170.5,85,28,63,0.444,8,21,0.381,21,21,1.0,6,15,21,21,7,5,9,13,2021-2022
69,Jonathan Kuminga,GSW,16,137.8,83,30,60,0.5,3,13,0.231,20,26,0.769,4,23,27,8,3,2,11,11,2021-2022
70,JaVale McGee,PHX,12,133.5,81,35,50,0.7,0,1,0.0,11,13,0.846,16,32,48,7,3,5,9,27,2021-2022
71,Gary Payton II,GSW,12,203.4,78,29,44,0.659,8,15,0.533,12,18,0.667,13,24,37,16,14,7,6,23,2021-2022
72,Kyle Lowry,MIA,10,294.9,78,25,86,0.291,13,54,0.241,15,19,0.789,3,33,36,47,12,7,19,29,2021-2022
73,Zach LaVine,CHI,4,152.6,77,27,63,0.429,9,24,0.375,14,15,0.933,0,21,21,24,3,1,12,9,2021-2022
